Age,Gender,MaritalStatus,Department,JobRole,JobLevel,OverTime,OverTimeFlag,MonthlyIncome,SalaryGroup,TotalWorkingYears,ExperienceGroup,YearsAtCompany,TenureGroup,StockOptionLevel,OverTime_LowSalary,EarlyCareer,Attrition,Attrition_Prob,RiskCategory
44,Male,Married,Research & Development,Healthcare Representative,2,Yes,1,6465,Mid-High,9,6-10,4,4-5,0,0,0,0,0.5876447279806253,Medium Risk
30,Male,Single,Research & Development,Laboratory Technician,1,No,0,2206,Low,10,6-10,10,6-10,0,0,0,0,0.4417294087766156,Medium Risk
39,Male,Married,Sales,Sales Representative,2,No,0,2086,Low,19,11-20,1,0-1,1,0,1,1,0.5357386072926804,Medium Risk
24,Male,Married,Research & Development,Research Scientist,1,Yes,1,2293,Low,6,6-10,2,2-3,1,1,0,1,0.8152444520912242,High Risk
43,Female,Divorced,Research & Development,Research Scientist,1,No,0,2645,Low,6,6-10,5,4-5,2,0,0,0,0.20251115871515346,Low Risk
50,Male,Married,Sales,Sales Representative,1,Yes,1,2683,Low,3,3-5,3,2-3,0,1,0,1,0.8139865816259539,High Risk
35,Female,Married,Sales,Sales Representative,1,No,0,2014,Low,2,0-2,2,2-3,0,0,1,0,0.7343786977055594,High Risk
36,Female,Married,Research & Development,Research Scientist,1,Yes,1,3419,Mid-Low,6,6-10,1,0-1,1,0,1,0,0.7932904630657348,High Risk
33,Female,Married,Sales,Sales Executive,2,No,0,5376,Mid-High,10,6-10,5,4-5,2,0,0,0,0.21892911354912115,Low Risk
35,Male,Divorced,Research & Development,Laboratory Technician,1,No,0,1951,Low,1,0-2,1,0-1,1,0,1,0,0.6427269904948915,Medium Risk
27,Female,Divorced,Research & Development,Laboratory Technician,1,No,0,2341,Low,1,0-2,1,0-1,1,0,1,0,0.6749527590298829,Medium Risk
26,Male,Single,Research & Development,Laboratory Technician,1,No,0,2293,Low,1,0-2,1,0-1,0,0,1,1,0.7689688380303299,High Risk
27,Male,Single,Sales,Sales Executive,3,No,0,8726,High,9,6-10,9,6-10,0,0,0,0,0.44996492219026907,Medium Risk
30,Female,Single,Research & Development,Laboratory Technician,2,No,0,4011,Mid-Low,12,11-20,12,11+,0,0,0,0,0.447458264738272,Medium Risk
41,Female,Married,Research & Development,Research Director,5,No,0,19545,High,23,21+,22,11+,0,0,0,1,0.2707326155029616,Low Risk
34,Male,Single,Sales,Sales Executive,2,No,0,4568,Mid-Low,10,6-10,9,6-10,0,0,0,0,0.42480284912852845,Medium Risk
37,Male,Married,Research & Development,Research Scientist,1,No,0,3022,Mid-Low,8,6-10,1,0-1,0,0,1,0,0.6775057927226106,Medium Risk
46,Male,Single,Sales,Sales Executive,2,Yes,1,5772,Mid-High,14,11-20,9,6-10,0,0,0,0,0.567342533581416,Medium Risk
35,Male,Married,Research & Development,Laboratory Technician,1,No,0,2269,Low,1,0-2,1,0-1,0,0,1,0,0.7348295464131926,High Risk
48,Male,Single,Research & Development,Laboratory Technician,3,Yes,1,5381,Mid-High,23,21+,1,0-1,0,0,1,1,0.7802673444505607,High Risk
28,Male,Single,Research & Development,Laboratory Technician,1,Yes,1,3441,Mid-Low,2,0-2,2,2-3,0,0,1,1,0.889038331445152,High Risk
44,Female,Divorced,Sales,Sales Executive,2,Yes,1,5454,Mid-High,9,6-10,4,4-5,1,0,0,0,0.4896757873056778,Medium Risk
35,Male,Married,Research & Development,Healthcare Representative,3,Yes,1,9884,High,10,6-10,4,4-5,1,0,0,0,0.5078910961850522,Medium Risk
26,Female,Married,Sales,Sales Executive,2,Yes,1,4157,Mid-Low,5,3-5,2,2-3,1,0,0,0,0.6185930358231002,Medium Risk
33,Female,Single,Research & Development,Research Director,3,Yes,1,13458,High,15,11-20,15,11+,0,0,0,0,0.5813022581435969,Medium Risk
35,Male,Married,Sales,Sales Executive,3,No,0,9069,High,9,6-10,9,6-10,1,0,0,0,0.3032909483817273,Low Risk
35,Female,Married,Research & Development,Laboratory Technician,1,Yes,1,4014,Mid-Low,4,3-5,2,2-3,1,0,0,0,0.5460888037800683,Medium Risk
31,Male,Divorced,Research & Development,Laboratory Technician,2,No,0,5915,Mid-High,10,6-10,7,6-10,1,0,0,0,0.3130434129356283,Low Risk
37,Male,Divorced,Research & Development,Manufacturing Director,2,No,0,5993,Mid-High,7,6-10,7,6-10,1,0,0,0,0.30387320966462844,Low Risk
32,Male,Married,Research & Development,Manufacturing Director,2,Yes,1,6162,Mid-High,9,6-10,9,6-10,1,0,0,0,0.5569665805877931,Medium Risk
38,Female,Single,Research & Development,Laboratory Technician,2,No,0,2406,Low,10,6-10,10,6-10,0,0,0,0,0.4356333063852814,Medium Risk
50,Female,Divorced,Research & Development,Research Director,5,Yes,1,18740,High,29,21+,27,11+,1,0,0,0,0.33339152344326906,Low Risk
59,Female,Single,Sales,Sales Executive,3,No,0,7637,Mid-High,28,21+,21,11+,0,0,0,0,0.23421800524121714,Low Risk
36,Female,Divorced,Research & Development,Healthcare Representative,3,No,0,10096,High,17,11-20,17,11+,3,0,0,0,0.12676898975358958,Low Risk
55,Female,Divorced,Research & Development,Manager,4,Yes,1,14756,High,21,21+,5,4-5,3,0,0,0,0.1572253972470008,Low Risk
36,Male,Single,Research & Development,Manufacturing Director,2,No,0,6499,Mid-High,6,6-10,6,6-10,0,0,0,0,0.4084120341711658,Medium Risk
45,Male,Divorced,Research & Development,Research Scientist,3,No,0,9724,High,25,21+,1,0-1,1,0,1,0,0.4011663642366338,Medium Risk
35,Male,Married,Research & Development,Research Scientist,1,No,0,2194,Low,5,3-5,3,2-3,1,0,0,0,0.3250481494238581,Low Risk
36,Male,Married,Research & Development,Research Scientist,1,Yes,1,3388,Mid-Low,2,0-2,1,0-1,1,0,1,1,0.8113277054437698,High Risk
59,Female,Single,Sales,Sales Executive,2,No,0,5473,Mid-High,20,11-20,4,4-5,0,0,0,0,0.23056983770606404,Low Risk
29,Male,Married,Research & Development,Research Scientist,1,No,0,2703,Low,6,6-10,5,4-5,1,0,0,0,0.34571319870569356,Low Risk
31,Male,Single,Research & Development,Research Scientist,1,No,0,2501,Low,1,0-2,1,0-1,0,0,1,0,0.7482014332391437,High Risk
32,Male,Married,Research & Development,Research Scientist,2,No,0,6220,Mid-High,10,6-10,10,6-10,2,0,0,0,0.22540963660298075,Low Risk
36,Female,Married,Research & Development,Laboratory Technician,1,No,0,3038,Mid-Low,5,3-5,1,0-1,0,0,1,0,0.6997492527174984,Medium Risk
31,Female,Single,Research & Development,Manufacturing Director,2,No,0,4424,Mid-Low,11,11-20,11,11+,0,0,0,0,0.4409133928608111,Medium Risk
35,Male,Single,Sales,Sales Executive,2,No,0,4312,Mid-Low,16,11-20,15,11+,0,0,0,0,0.40021383920285203,Medium Risk
45,Male,Married,Research & Development,Research Director,3,Yes,1,13245,High,17,11-20,0,0-1,0,0,1,0,0.7446728987843069,High Risk
37,Male,Single,Research & Development,Research Director,3,No,0,13664,High,16,11-20,5,4-5,0,0,0,0,0.2867194415686922,Low Risk
46,Male,Divorced,Human Resources,Human Resources,2,Yes,1,5021,Mid-High,16,11-20,4,4-5,1,0,0,0,0.43640644491780595,Medium Risk
30,Male,Married,Research & Development,Laboratory Technician,2,Yes,1,5126,Mid-High,10,6-10,10,6-10,2,0,0,0,0.46502988156643876,Medium Risk
35,Male,Single,Research & Development,Research Scientist,1,No,0,2859,Low,6,6-10,6,6-10,0,0,0,0,0.42358800229956384,Medium Risk
55,Male,Married,Sales,Sales Executive,3,No,0,10239,High,24,21+,1,0-1,1,0,1,0,0.35327036406112533,Low Risk
38,Female,Divorced,Research & Development,Research Scientist,2,Yes,1,5329,Mid-High,17,11-20,13,11+,3,0,0,0,0.28434986268180984,Low Risk
34,Male,Married,Research & Development,Manufacturing Director,2,No,0,4325,Mid-Low,5,3-5,5,4-5,0,0,0,0,0.4503474158044678,Medium Risk
56,Male,Single,Research & Development,Manufacturing Director,3,No,0,7260,Mid-High,37,21+,6,6-10,0,0,0,0,0.17653222681628325,Low Risk
23,Male,Divorced,Sales,Sales Representative,1,No,0,2322,Low,3,3-5,0,0-1,1,0,1,0,0.6781542639626873,Medium Risk
51,Male,Married,Research & Development,Laboratory Technician,1,No,0,2075,Low,10,6-10,4,4-5,2,0,0,0,0.16395527264041626,Low Risk
30,Male,Married,Research & Development,Healthcare Representative,2,No,0,4152,Mid-Low,11,11-20,11,11+,3,0,0,0,0.17522778880192552,Low Risk
46,Male,Single,Sales,Sales Executive,3,No,0,9619,High,9,6-10,9,6-10,0,0,0,1,0.34584665046951346,Low Risk
40,Male,Married,Research & Development,Healthcare Representative,4,No,0,13503,High,22,21+,22,11+,1,0,0,0,0.2274681555646108,Low Risk
51,Male,Single,Sales,Sales Executive,2,Yes,1,5441,Mid-High,11,11-20,10,6-10,0,0,0,0,0.5701253257110153,Medium Risk
30,Female,Divorced,Sales,Sales Executive,2,Yes,1,5209,Mid-High,11,11-20,11,11+,3,0,0,0,0.35228176664836575,Low Risk
46,Male,Married,Research & Development,Healthcare Representative,3,Yes,1,10673,High,21,21+,10,6-10,1,0,0,0,0.3845796033851373,Low Risk
32,Male,Single,Sales,Sales Executive,2,No,0,5010,Mid-High,12,11-20,11,11+,0,0,0,0,0.4214404439469913,Medium Risk
54,Female,Married,Research & Development,Research Director,3,No,0,13549,High,16,11-20,4,4-5,1,0,0,0,0.152529744948424,Low Risk
24,Female,Married,Sales,Sales Executive,2,No,0,4999,Mid-High,4,3-5,3,2-3,1,0,0,0,0.3834049011813507,Low Risk
28,Male,Married,Sales,Sales Executive,2,No,0,4221,Mid-Low,5,3-5,5,4-5,0,0,0,0,0.4823096428496901,Medium Risk
58,Male,Single,Sales,Sales Executive,4,No,0,13872,High,38,21+,37,11+,0,0,0,0,0.19364213574418815,Low Risk
44,Male,Married,Research & Development,Laboratory Technician,2,No,0,2042,Low,17,11-20,3,2-3,1,0,0,0,0.2508959170994647,Low Risk
37,Male,Divorced,Human Resources,Human Resources,1,Yes,1,2073,Low,7,6-10,3,2-3,0,1,0,1,0.8405868354076159,High Risk
32,Male,Single,Research & Development,Research Scientist,1,No,0,2956,Mid-Low,1,0-2,1,0-1,0,0,1,0,0.7397317298551186,High Risk
20,Female,Single,Research & Development,Laboratory Technician,1,Yes,1,2926,Mid-Low,1,0-2,1,0-1,0,0,1,1,0.9078638425016078,High Risk
34,Female,Single,Research & Development,Research Scientist,2,No,0,4809,Mid-Low,16,11-20,16,11+,0,0,0,0,0.40180188154114516,Medium Risk
37,Male,Divorced,Research & Development,Healthcare Representative,2,No,0,5163,Mid-High,17,11-20,1,0-1,1,0,1,0,0.5195359722075736,Medium Risk
59,Female,Married,Human Resources,Manager,5,No,0,18844,High,30,21+,3,2-3,1,0,0,0,0.09960684865763016,Low Risk
50,Female,Married,Research & Development,Research Director,5,Yes,1,18172,High,28,21+,8,6-10,0,0,0,0,0.3965908522582427,Low Risk
25,Male,Single,Sales,Sales Executive,2,Yes,1,5744,Mid-High,6,6-10,6,6-10,0,0,0,1,0.7089748653461329,High Risk
25,Male,Married,Research & Development,Research Scientist,1,No,0,2889,Low,2,0-2,2,2-3,2,0,1,0,0.5691197962262016,Medium Risk
22,Female,Single,Research & Development,Laboratory Technician,1,No,0,2871,Low,1,0-2,0,0-1,0,0,1,0,0.7758694522925221,High Risk
51,Female,Single,Research & Development,Healthcare Representative,3,No,0,7484,Mid-High,23,21+,13,11+,0,0,0,0,0.27473307797046603,Low Risk
34,Male,Single,Research & Development,Laboratory Technician,2,Yes,1,6074,Mid-High,9,6-10,9,6-10,0,0,0,1,0.6550459189090606,Medium Risk
54,Female,Single,Human Resources,Manager,4,Yes,1,17328,High,23,21+,5,4-5,0,0,0,0,0.3766736077186949,Low Risk
24,Male,Married,Research & Development,Laboratory Technician,1,No,0,2774,Low,6,6-10,5,4-5,1,0,0,0,0.3683787259379824,Low Risk
34,Female,Divorced,Research & Development,Research Scientist,2,No,0,4505,Mid-Low,12,11-20,1,0-1,1,0,1,0,0.5779919079714562,Medium Risk
37,Male,Single,Sales,Sales Executive,3,No,0,7428,Mid-High,12,11-20,5,4-5,0,0,0,0,0.38444640594389645,Low Risk
34,Female,Single,Research & Development,Manager,3,No,0,11631,High,14,11-20,11,11+,0,0,0,0,0.35138776868310556,Low Risk
36,Female,Married,Sales,Sales Executive,3,No,0,9738,High,10,6-10,9,6-10,1,0,0,0,0.28588493570601925,Low Risk
36,Female,Divorced,Research & Development,Laboratory Technician,1,No,0,2835,Low,7,6-10,1,0-1,1,0,1,0,0.5870840532450966,Medium Risk
43,Male,Married,Sales,Manager,4,Yes,1,16959,High,25,21+,25,11+,2,0,0,0,0.2755638574039035,Low Risk
30,Male,Divorced,Research & Development,Research Scientist,1,No,0,2613,Low,10,6-10,10,6-10,3,0,0,0,0.1677052283994933,Low Risk
33,Male,Married,Sales,Sales Executive,2,No,0,6146,Mid-High,8,6-10,7,6-10,1,0,0,0,0.31366920781060137,Low Risk
56,Female,Married,Research & Development,Research Scientist,1,Yes,1,4963,Mid-High,7,6-10,5,4-5,3,0,0,1,0.2243603903572087,Low Risk
51,Male,Single,Research & Development,Research Director,5,No,0,19537,High,23,21+,20,11+,0,0,0,0,0.22792434386979937,Low Risk
31,Male,Married,Sales,Sales Executive,2,Yes,1,6172,Mid-High,12,11-20,7,6-10,0,0,0,1,0.643119712949907,Medium Risk
26,Female,Married,Research & Development,Research Scientist,1,No,0,2368,Low,5,3-5,5,4-5,0,0,0,0,0.47952279928546787,Medium Risk
58,Female,Married,Research & Development,Healthcare Representative,3,No,0,10312,High,40,21+,40,11+,1,0,0,1,0.1350819795697786,Low Risk
19,Male,Single,Sales,Sales Representative,1,Yes,1,1675,Low,0,0-2,0,0-1,0,1,1,1,0.9686129090198698,High Risk
22,Male,Married,Research & Development,Laboratory Technician,1,No,0,2523,Low,3,3-5,2,2-3,1,0,0,0,0.3922841994815737,Low Risk
49,Female,Married,Research & Development,Manufacturing Director,2,No,0,6567,Mid-High,16,11-20,15,11+,0,0,0,0,0.3078142911646027,Low Risk
43,Female,Single,Research & Development,Research Scientist,1,No,0,4739,Mid-Low,18,11-20,3,2-3,0,0,0,0,0.2800066010252682,Low Risk
50,Female,Single,Sales,Sales Executive,3,No,0,9208,High,16,11-20,2,2-3,0,0,0,0,0.27288977170357775,Low Risk
31,Female,Married,Sales,Sales Executive,2,Yes,1,4559,Mid-Low,4,3-5,2,2-3,1,0,0,1,0.5957877122342107,Medium Risk
41,Male,Divorced,Sales,Sales Executive,3,Yes,1,8189,Mid-High,12,11-20,9,6-10,1,0,0,0,0.5008115209747769,Medium Risk
26,Female,Married,Human Resources,Human Resources,1,No,0,2942,Mid-Low,8,6-10,8,6-10,1,0,0,0,0.35246406167701216,Low Risk
36,Male,Divorced,Research & Development,Manufacturing Director,2,No,0,4941,Mid-High,7,6-10,3,2-3,2,0,0,0,0.22253179235772802,Low Risk
51,Male,Single,Research & Development,Manufacturing Director,3,No,0,10650,High,18,11-20,4,4-5,0,0,0,1,0.24825096428854163,Low Risk
39,Female,Married,Sales,Sales Executive,2,No,0,5902,Mid-High,17,11-20,15,11+,1,0,0,0,0.25976960282439865,Low Risk
25,Male,Married,Sales,Sales Executive,2,No,0,8639,High,6,6-10,2,2-3,0,0,0,0,0.4238617710577282,Medium Risk
30,Male,Married,Human Resources,Human Resources,2,Yes,1,6347,Mid-High,12,11-20,11,11+,0,0,0,0,0.6568712598838762,Medium Risk
32,Female,Single,Research & Development,Laboratory Technician,1,No,0,4200,Mid-Low,10,6-10,5,4-5,0,0,0,1,0.3913480714514181,Low Risk
45,Male,Single,Research & Development,Research Scientist,1,No,0,3452,Mid-Low,9,6-10,6,6-10,0,0,0,0,0.34787117290068703,Low Risk
38,Female,Single,Research & Development,Research Scientist,2,Yes,1,4317,Mid-Low,19,11-20,3,2-3,0,0,0,0,0.573883394938604,Medium Risk
30,Female,Single,Research & Development,Research Scientist,1,No,0,2632,Low,5,3-5,5,4-5,0,0,0,0,0.45565183528005737,Medium Risk
32,Male,Divorced,Sales,Sales Executive,2,No,0,4668,Mid-Low,9,6-10,8,6-10,3,0,0,0,0.16826084670179342,Low Risk
30,Female,Divorced,Research & Development,Research Scientist,1,No,0,3204,Mid-Low,8,6-10,3,2-3,1,0,0,0,0.3174556640084981,Low Risk
30,Male,Single,Research & Development,Laboratory Technician,1,No,0,2720,Low,6,6-10,5,4-5,0,0,0,0,0.44756008829104554,Medium Risk
41,Male,Divorced,Research & Development,Manager,4,No,0,17181,High,21,21+,7,6-10,1,0,0,0,0.1689249901929201,Low Risk
41,Male,Married,Research & Development,Laboratory Technician,1,No,0,2238,Low,7,6-10,5,4-5,1,0,0,0,0.29163131844815765,Low Risk
19,Female,Single,Research & Development,Laboratory Technician,1,No,0,1483,Low,1,0-2,1,0-1,0,0,1,0,0.8003789172094257,High Risk
40,Female,Divorced,Research & Development,Research Scientist,2,No,0,5605,Mid-High,20,11-20,20,11+,1,0,0,0,0.2545157287438061,Low Risk
35,Male,Married,Sales,Sales Executive,3,No,0,7295,Mid-High,10,6-10,10,6-10,2,0,0,0,0.23098328332407095,Low Risk
53,Male,Married,Sales,Sales Representative,2,Yes,1,2306,Low,13,11-20,7,6-10,1,1,0,0,0.71182274748939,High Risk
45,Male,Divorced,Research & Development,Laboratory Technician,2,No,0,2348,Low,20,11-20,17,11+,1,0,0,0,0.26067270422710864,Low Risk
32,Female,Single,Sales,Sales Executive,3,No,0,8998,High,9,6-10,9,6-10,0,0,0,0,0.42125128379767246,Medium Risk
29,Male,Married,Research & Development,Manufacturing Director,2,No,0,4319,Mid-Low,10,6-10,10,6-10,1,0,0,0,0.34887734161452216,Low Risk
51,Male,Married,Research & Development,Manufacturing Director,2,No,0,6132,Mid-High,10,6-10,1,0-1,0,0,1,0,0.5951287798974928,Medium Risk
58,Female,Married,Research & Development,Research Scientist,1,Yes,1,3346,Mid-Low,9,6-10,1,0-1,1,0,1,0,0.6928792422064083,Medium Risk
40,Male,Married,Sales,Sales Executive,3,No,0,10855,High,15,11-20,12,11+,1,0,0,0,0.2387386956101797,Low Risk
34,Female,Married,Sales,Sales Representative,1,No,0,2231,Low,6,6-10,4,4-5,1,0,0,0,0.32566386594683605,Low Risk
22,Male,Married,Research & Development,Research Scientist,1,No,0,2323,Low,2,0-2,2,2-3,2,0,1,0,0.591356384587082,Medium Risk
27,Male,Divorced,Research & Development,Research Scientist,1,No,0,2024,Low,6,6-10,2,2-3,1,0,0,0,0.3547906741501012,Low Risk
28,Male,Married,Research & Development,Research Scientist,1,No,0,2713,Low,5,3-5,5,4-5,1,0,0,0,0.35665199392668323,Low Risk
57,Male,Divorced,Research & Development,Healthcare Representative,3,Yes,1,9439,High,12,11-20,5,4-5,1,0,0,0,0.39179672761436984,Low Risk
27,Male,Divorced,Research & Development,Research Scientist,1,Yes,1,2566,Low,1,0-2,1,0-1,1,1,1,0,0.940138433673793,High Risk
50,Female,Single,Research & Development,Manager,5,No,0,19926,High,21,21+,5,4-5,0,0,0,0,0.20613607086663496,Low Risk
41,Male,Divorced,Research & Development,Research Scientist,1,No,0,2451,Low,13,11-20,9,6-10,1,0,0,0,0.26546538178228557,Low Risk
30,Female,Married,Sales,Sales Executive,3,No,0,9419,High,12,11-20,10,6-10,1,0,0,0,0.3058833190479789,Low Risk
38,Female,Single,Sales,Sales Executive,2,No,0,8686,High,12,11-20,8,6-10,0,0,0,0,0.3384109994596202,Low Risk
32,Male,Single,Research & Development,Research Scientist,1,No,0,3038,Mid-Low,8,6-10,5,4-5,0,0,0,0,0.4196133129252639,Medium Risk
27,Male,Married,Research & Development,Research Scientist,1,Yes,1,3058,Mid-Low,6,6-10,5,4-5,1,0,0,0,0.5938824987019298,Medium Risk
19,Female,Single,Sales,Sales Representative,1,No,0,2325,Low,1,0-2,0,0-1,0,0,1,1,0.7911740109996882,High Risk
36,Male,Single,Research & Development,Laboratory Technician,1,No,0,2088,Low,13,11-20,8,6-10,0,0,0,0,0.38707413604529706,Low Risk
30,Male,Divorced,Research & Development,Laboratory Technician,2,No,0,3072,Mid-Low,12,11-20,12,11+,2,0,0,0,0.25748606452306455,Low Risk
45,Female,Divorced,Sales,Sales Executive,2,Yes,1,5006,Mid-High,9,6-10,5,4-5,1,0,0,0,0.4935229078583992,Medium Risk
56,Female,Divorced,Research & Development,Research Scientist,1,Yes,1,4257,Mid-Low,19,11-20,2,2-3,1,0,0,0,0.3364879920628487,Low Risk
33,Male,Single,Research & Development,Research Scientist,1,No,0,2500,Low,4,3-5,3,2-3,0,0,0,0,0.44301056457724064,Medium Risk
19,Male,Single,Research & Development,Laboratory Technician,1,No,0,1102,Low,1,0-2,1,0-1,0,0,1,1,0.8035662838561731,High Risk
46,Female,Divorced,Sales,Sales Executive,3,No,0,10453,High,24,21+,24,11+,3,0,0,0,0.09416115631680252,Low Risk
38,Female,Single,Research & Development,Laboratory Technician,1,No,0,2288,Low,2,0-2,2,2-3,0,0,1,0,0.7193057725243848,High Risk
31,Female,Married,Research & Development,Research Scientist,1,Yes,1,3929,Mid-Low,7,6-10,4,4-5,1,0,0,0,0.5527596390045091,Medium Risk
34,Female,Single,Research & Development,Research Scientist,1,No,0,2311,Low,9,6-10,3,2-3,0,0,0,0,0.4062024348425613,Medium Risk
41,Female,Single,Sales,Sales Representative,1,Yes,1,3140,Mid-Low,4,3-5,4,4-5,0,0,0,1,0.6413678721607494,Medium Risk
50,Male,Married,Research & Development,Laboratory Technician,1,No,0,3690,Mid-Low,5,3-5,3,2-3,1,0,0,0,0.24657404345774156,Low Risk
53,Female,Divorced,Research & Development,Manufacturing Director,2,No,0,4450,Mid-Low,5,3-5,4,4-5,2,0,0,0,0.1816464830408266,Low Risk
33,Female,Married,Research & Development,Research Scientist,1,No,0,2756,Low,8,6-10,8,6-10,1,0,0,0,0.32258340697725485,Low Risk
40,Female,Married,Research & Development,Manager,5,No,0,19033,High,21,21+,20,11+,1,0,0,0,0.2041192972188796,Low Risk
55,Male,Single,Research & Development,Research Director,5,No,0,18722,High,36,21+,24,11+,0,0,0,0,0.17158157964740914,Low Risk
34,Male,Married,Research & Development,Manufacturing Director,2,No,0,9547,High,10,6-10,10,6-10,0,0,0,0,0.3651503375786472,Low Risk
51,Female,Single,Research & Development,Healthcare Representative,4,No,0,13734,High,21,21+,7,6-10,0,0,0,0,0.23723795588970487,Low Risk
52,Male,Married,Research & Development,Manager,5,No,0,19999,High,34,21+,33,11+,1,0,0,0,0.13443317790869597,Low Risk
27,Female,Single,Research & Development,Research Scientist,1,No,0,2279,Low,7,6-10,7,6-10,0,0,0,0,0.4677307331624988,Medium Risk
35,Male,Married,Research & Development,Manufacturing Director,2,Yes,1,5916,Mid-High,8,6-10,1,0-1,0,0,1,1,0.8552435809218061,High Risk
43,Male,Divorced,Research & Development,Research Scientist,1,No,0,2089,Low,7,6-10,5,4-5,3,0,0,0,0.13964765447013852,Low Risk
45,Male,Married,Research & Development,Manager,4,No,0,16792,High,22,21+,20,11+,1,0,0,0,0.17901950202639796,Low Risk
